,L1_fix_16,lengths,L1_fix_24,L1_fix_32,L1_fix_64,L1_var_16,L1_var_24,L1_var_32,L1_var_64,L1_quant_16,L1_quant_24,L1_quant_32,L1_quant_64,L2_fix_16,L2_fix_24,L2_fix_32,L2_fix_64,L2_var_16,L2_var_24,L2_var_32,L2_var_64,L2_quant_16,L2_quant_24,L2_quant_32,L2_quant_64
35,2.726418904714255,118753,2.3439400031971047,2.069674415362697,1.6117864523782328,2.855986459674505,2.492221818955568,2.263212281248561,1.972719944741819,3.144377890992253,2.696802509497651,2.4225888230297286,1.93439576864146,3.528582351157731,3.0364196835273214,2.6950376041774735,2.1210638868242544,3.7142768980719443,3.225469051936034,2.9256223030568598,2.572710095697136,3.9952582120979065,3.4377790337593104,3.0915743985111197,2.4531653288113864
36,2.7094346031789844,139603,2.2604859710649134,1.993596072184424,1.5682828823062152,2.8279995861637555,2.4112411910965204,2.2049209634832154,1.9075272983920522,3.294858460899966,2.799441150472462,2.5059281803222544,1.9581597347100397,3.530344409021393,2.9418253660681795,2.6173281861352464,2.0794128460751833,3.6858059569535784,3.1323900990624476,2.865851602201926,2.495353503403134,4.204792959257407,3.5778474906289635,3.190588745061201,2.4901807103533975
37,2.7666224021147734,112408,2.3068469637501283,1.975999955787869,1.5430039399416047,2.9328851291888944,2.476000635766423,2.2230023123559617,1.897719752144147,3.4034423322192344,2.9355632914714636,2.60253331980063,2.015366300972862,3.622240114282992,3.0360093909294212,2.6092429627896294,2.0456271273708357,3.8274933222820744,3.2566722570107616,2.915147028256095,2.4944806285513246,4.364225673589833,3.7368445441145344,3.3225779323579516,2.5814199474583566
38,2.4687015692787377,106062,2.1384856612241627,1.9117151303471458,1.4861490345584334,2.7018893611325594,2.3040569740844097,2.081240913158066,1.8287539670518007,2.9885953570528776,2.595230888137063,2.342970832543138,1.8480083385790473,3.2306734258671232,2.7944161663018425,2.5032412168104563,1.963638888194864,3.5365324497487087,3.0271100538800852,2.7276264851364647,2.394904038769294,3.80758105886993,3.2975200561628086,2.956812306287743,2.330835231734216
39,2.6134481383434984,70709,2.2087810790793556,1.9690236873251556,1.5201266977178867,2.8220458134497517,2.444954817379092,2.1478932692614965,1.8401010812656422,3.13466547567793,2.6806781398300292,2.3819752918909933,1.8767488820574847,3.383704799093262,2.881153056936599,2.5858200443536887,2.0061031366387634,3.6511575883549083,3.176205465622901,2.7946804620384076,2.4093525508477653,3.9949004680157,3.4172757936903806,3.0454023733946536,2.3810682475609988
40,2.53899051564185,82946,2.1126910703705826,1.8210167805502695,1.3753139900040636,2.7876648469038456,2.291793496591978,2.051500394723359,1.7631621590705122,3.0531787771381924,2.5865205186564753,2.2990431208801687,1.8110245379183887,3.302871980113332,2.752471060952636,2.3924979380137867,1.8230791156464639,3.629195156251681,2.9879093788923514,2.659243522620883,2.2878293194031842,3.866819026496802,3.281651181002523,2.918974786391833,2.283719404212739
41,2.486288237296855,95637,2.1527353690659226,1.921734682675606,1.513243877600815,2.6886753508833525,2.358844367177722,2.1404161073117574,1.8253001317284705,2.9954579861146584,2.564834807554608,2.2916327447286995,1.8106348246653046,3.2295719779150325,2.8102972078672397,2.5190948192494322,1.999139164011003,3.520001152659069,3.063243241621691,2.7877588129688533,2.376749950325564,3.8076820141463847,3.2617422827662605,2.914340680342872,2.2988023813747764
42,2.5000600901633954,101982,2.167132238637592,1.9471758006317523,1.524530289218942,2.6958905468336756,2.3663091038626667,2.1606911625699308,1.861744080519779,3.0189363005228076,2.6016449133678274,2.3381700208581853,1.8595763895325153,3.2269888171362044,2.8325213471101995,2.5457734159211998,2.025491209192392,3.489976794581714,3.0693168663690242,2.814831135218795,2.435105465292347,3.817474675962505,3.2905896058640254,2.9557455455332033,2.3510262870251855
43,2.7885372040362886,88517,2.4195775083348585,2.1389963913791505,1.6626984571540953,3.0377799911626298,2.585782250839939,2.3487014682102085,2.012450893790624,3.386328600842355,2.92499560376379,2.6267255692150933,2.0677767150250292,3.612042078202953,3.153989868749487,2.7816033885616234,2.1782410725130315,3.9316675188977315,3.3367668081741555,3.0472752232027327,2.6194438463261838,4.347066900628074,3.739264623292935,3.354428545500406,2.6245612434037113
44,2.637779913127216,125100,2.2482646877008463,2.055263308508451,1.6036900980662372,2.7993521027414348,2.3968628299922012,2.200127399869393,1.9588621504604504,3.542478456672216,3.017961176096127,2.693377795888683,2.1340994133218825,3.421819039990532,2.9396887382429018,2.6910894762890396,2.1072595470674704,3.6421420233078075,3.14799157216997,2.876068793898523,2.561915905766647,4.540595576995184,3.854472196186374,3.422587853249688,2.7142488755674647
45,2.8347703200379937,115893,2.443597357200299,2.159651711511971,1.6361877309868942,3.104813259289915,2.6040769000916564,2.351394903214087,1.987336327324857,3.863829973734689,3.249300450952092,2.881632465069918,2.250133395753994,3.7505498700424877,3.209459615967761,2.836253844882514,2.1790663171831293,4.078513439993387,3.4388051535435844,3.089508180519677,2.6283830477667354,4.947681938858678,4.1656813320007,3.686677796366655,2.8785786973870002
46,2.648330257236114,111048,2.3073872039090033,2.086224868068895,1.6422934543349466,2.8707795139913386,2.464405792835742,2.2245987000223644,1.9621552339205026,3.7856072369406415,3.2134646929865034,2.8437853673657285,2.22162724971871,3.4682061775037516,3.0185451635414657,2.736362999445057,2.1736424302406716,3.7283135643944165,3.2258783090952012,2.9118768538780073,2.567376291924438,4.846669713273523,4.096809642403204,3.639567663758209,2.8374606487256737
47,2.743741018136124,109050,2.400711814621963,2.145533245529602,1.6503573217566982,2.967060561146326,2.5304230367063987,2.3047768628634375,1.9983779871125018,3.701571288240577,3.1560128571738324,2.8209306459344505,2.2119707480959625,3.5697457002636206,3.14581456223411,2.7971916598253013,2.1687947649530566,3.8994972140465034,3.3059153934089207,3.0087214385633594,2.6172360320880212,4.744189753284525,4.0393979298414315,3.6035680476131433,2.8231594278069534
48,2.5421807023778236,78479,2.180128677323054,1.9838368032674387,1.527592858131089,2.7923823057708024,2.387851665559715,2.1335737987351093,1.8737022330158557,3.10039038274246,2.6506889866695924,2.3737215508916014,1.879066582231173,3.35837667338884,2.8956321144576895,2.629707115046393,2.052293152503213,3.6909784911436314,3.143412862093218,2.823481190393193,2.475072623802088,3.9273103927098134,3.3714058578242296,3.0221365827864264,2.389496201127196
49,2.8016336919893146,87025,2.408276212284947,2.1606181641392634,1.6502500244180047,3.0227138398800015,2.6441817719528693,2.3646236684652373,2.0280008538211862,3.628129948655241,3.100311171679395,2.7478760427158413,2.154231836894603,3.669941223548224,3.1538179859198308,2.8485711651890546,2.1820711603859184,3.952822567649003,3.4446789386154744,3.092619415052269,2.659181914016277,4.672408998567029,3.9695751897677938,3.522257373657993,2.7629445237356185
